C,BAND,SPEC,AGE,SEX,BP,MONTH,DAY,YEAR,TIME,NET
N,198102972,NOCA,2,F,0,7,15,2006,113,2
N,198102973,NOCA,2,M,0,7,22,2006,94,7
N,198102974,NOCA,2,M,0,8,5,2006,65,4
N,198102975,NOCA,2,M,0,8,5,2006,95,2
N,198102976,NOCA,1,M,0,5,24,2007,84,2
R,198102976,NOCA,1,M,0,6,28,2007,93,2
N,198102977,NOCA,1,F,3,5,24,2007,84,8
R,198102977,NOCA,6,F,2,6,22,2008,63,7
N,198102978,NOCA,1,M,0,6,10,2007,113,8
R,198102978,NOCA,1,M,0,7,21,2007,73,8
N,198102979,NOCA,2,U,0,6,28,2007,73,9
N,198102980,NOCA,1,F,4,6,28,2007,73,2
N,198102981,NOCA,2,M,0,6,28,2007,73,3
R,198102981,NOCA,2,M,0,7,21,2007,83,2
R,198102981,NOCA,5,M,0,5,17,2008,64,4
R,198102981,NOCA,5,M,0,5,22,2008,63,4
R,198102981,NOCA,5,M,0,6,7,2008,93,4
N,198102982,NOCA,2,U,0,6,28,2007,103,4
N,198102983,NOCA,2,U,0,6,28,2007,113,8
N,198102984,NOCA,1,F,4,7,5,2007,63,9
R,198102984,NOCA,1,F,3,7,5,2007,103,8
R,198102984,NOCA,6,F,4,5,17,2008,104,9
N,198102985,NOCA,2,U,0,7,5,2007,73,3
N,198102986,NOCA,2,U,0,7,5,2007,83,10
N,198102987,NOCA,2,U,0,7,5,2007,83,10
N,198102988,NOCA,2,F,0,7,14,2007,93,2
R,198102988,NOCA,6,F,4,8,1,2009,64,4
N,198102989,NOCA,2,U,0,7,14,2007,103,9
N,198102990,NOCA,1,F,4,7,21,2007,63,8
R,198102990,NOCA,6,F,3,6,22,2008,63,8
N,198102991,NOCA,2,F,0,7,21,2007,103,1
R,198102991,NOCA,6,F,4,7,10,2010,93,1
N,198102992,NOCA,2,U,0,8,4,2007,64,9
N,198102993,NOCA,2,U,0,8,4,2007,64,3
N,198102994,NOCA,2,U,0,8,4,2007,64,3
N,198102995,NOCA,2,U,0,8,4,2007,94,5
N,198102996,NOCA,1,F,4,8,4,2007,104,5
R,198102996,NOCA,6,F,4,6,7,2008,93,5
R,198102996,NOCA,6,F,4,5,24,2009,93,4
N,198102997,NOCA,2,F,0,8,4,2007,114,10
R,198102997,NOCA,6,F,4,5,12,2009,104,9
R,198102997,NOCA,6,F,4,6,5,2010,63,9
N,198102998,NOCA,1,F,0,5,17,2008,74,8
N,198102999,NOCA,1,F,0,5,17,2008,84,1
R,198102999,NOCA,6,F,4,6,26,2010,73,1
R,198102999,NOCA,6,F,4,7,10,2010,73,1
N,198103000,NOCA,1,F,1,5,17,2008,94,4
R,198103000,NOCA,1,F,4,6,7,2008,73,4
N,198103001,NOCA,1,M,0,5,22,2008,63,3
N,198103002,NOCA,1,M,0,5,22,2008,63,3
N,198103003,NOCA,1,M,0,5,22,2008,73,5
N,198103004,NOCA,1,M,0,5,22,2008,83,4
N,198103005,NOCA,1,M,0,5,22,2008,93,6
R,198103005,NOCA,1,M,0,6,7,2008,93,6
N,198103006,NOCA,1,M,0,5,22,2008,103,5
N,198103007,NOCA,1,F,4,6,7,2008,93,6
N,198103008,NOCA,1,M,0,6,7,2008,93,1
R,198103008,NOCA,1,M,0,6,18,2008,93,1
R,198103008,NOCA,6,M,0,6,28,2009,103,1
R,198103008,NOCA,6,M,0,6,5,2010,93,5
R,198103008,NOCA,6,M,0,6,26,2010,63,1
N,198103009,NOCA,1,F,4,6,7,2008,93,3
N,198103010,NOCA,1,M,0,6,7,2008,113,2
R,198103010,NOCA,1,M,0,6,18,2008,63,1
R,198103010,NOCA,1,M,0,7,12,2008,73,2
R,198103010,NOCA,1,M,0,7,26,2008,94,2
R,198103010,NOCA,6,M,0,5,12,2009,74,2
R,198103010,NOCA,6,M,0,6,17,2009,113,2
N,198103011,NOCA,1,M,0,6,18,2008,93,1
N,198103012,NOCA,1,F,3,6,18,2008,103,3
N,198103013,NOCA,1,M,0,6,18,2008,103,3
N,198103014,NOCA,1,M,0,6,18,2008,103,10
N,198103015,NOCA,2,M,0,6,22,2008,103,9
N,198103016,NOCA,1,M,0,6,22,2008,103,6
N,198103017,NOCA,2,M,0,6,22,2008,113,6
R,198103017,NOCA,5,M,0,5,12,2009,74,5
N,198103018,NOCA,1,M,0,7,5,2008,93,6
R,198103018,NOCA,6,M,0,5,12,2009,104,7
R,198103018,NOCA,6,M,0,5,24,2009,73,7
R,198103018,NOCA,6,M,0,6,28,2009,63,7
N,198103019,NOCA,2,F,0,7,5,2008,113,2
N,198103020,NOCA,2,M,0,7,5,2008,113,10
N,198103021,NOCA,2,M,0,7,12,2008,73,3
N,198103022,NOCA,2,M,0,7,12,2008,73,2
N,198103023,NOCA,2,M,0,7,12,2008,73,3
N,198103024,NOCA,1,M,0,7,12,2008,84,6
N,198103025,NOCA,1,M,0,7,26,2008,94,5
N,198103026,NOCA,2,M,0,7,26,2008,94,8
N,198103027,NOCA,2,M,0,7,26,2008,104,9
N,198103028,NOCA,2,M,0,7,26,2008,114,10
N,198103029,NOCA,2,M,0,8,2,2008,74,7
N,198103030,NOCA,2,M,0,8,2,2008,84,8
N,198103031,NOCA,2,M,0,8,2,2008,84,9
N,198103032,NOCA,2,M,0,8,2,2008,104,2
N,198103033,NOCA,1,F,5,8,2,2008,114,3
N,198103034,NOCA,1,F,0,5,12,2009,64,8
R,198103034,NOCA,1,F,4,7,4,2009,83,9
N,198103035,NOCA,1,F,0,5,12,2009,64,1
N,198103036,NOCA,1,F,4,5,12,2009,74,10
R,198103036,NOCA,1,F,5,7,26,2009,84,6
R,198103036,NOCA,6,F,4,5,15,2010,64,10
R,198103036,NOCA,6,F,3,5,22,2010,83,10
R,198103036,NOCA,6,F,2,5,28,2011,63,4
R,198103036,NOCA,6,F,4,6,4,2011,63,10
N,198103037,NOCA,1,F,0,5,12,2009,74,5
N,198103038,NOCA,1,F,0,5,12,2009,84,7
N,198103039,NOCA,1,M,0,5,12,2009,94,1
N,198103040,NOCA,1,F,0,5,12,2009,104,5
R,198103040,NOCA,6,F,4,6,12,2010,93,2
N,198103041,NOCA,1,F,0,5,12,2009,104,4
N,198103042,NOCA,1,F,0,5,24,2009,63,9
N,198103043,NOCA,1,F,4,5,24,2009,63,9
N,198103044,NOCA,1,M,0,5,24,2009,63,9
R,198103044,NOCA,1,M,0,6,17,2009,103,9
R,198103044,NOCA,6,M,0,6,5,2010,63,7
N,198103045,NOCA,1,M,0,5,24,2009,73,4
R,198103045,NOCA,1,M,0,7,11,2009,73,4
N,198103046,NOCA,1,F,3,5,24,2009,83,3
R,198103046,NOCA,1,F,3,7,11,2009,63,3
N,198103047,NOCA,1,M,0,5,24,2009,93,7
R,198103047,NOCA,6,M,0,8,1,2010,103,1
N,198103048,NOCA,1,F,4,5,24,2009,113,4
N,198103049,NOCA,1,M,0,5,24,2009,113,8
R,198103049,NOCA,1,M,0,6,28,2009,73,8
R,198103049,NOCA,6,M,0,6,12,2010,63,8
N,198103050,NOCA,1,F,4,5,31,2009,73,4
R,198103050,NOCA,6,F,5,5,15,2010,114,4
N,198103051,NOCA,1,M,0,5,31,2009,83,6
R,198103051,NOCA,1,M,0,6,17,2009,63,6
R,198103051,NOCA,6,M,0,6,12,2010,103,6
R,198103051,NOCA,6,M,0,5,15,2011,64,6
N,198103052,NOCA,1,F,4,5,31,2009,83,5
N,198103053,NOCA,1,F,4,5,31,2009,103,8
N,198103054,NOCA,1,F,4,5,31,2009,113,9
N,198103055,NOCA,2,F,0,6,28,2009,83,2
R,198103055,NOCA,5,F,5,5,15,2010,74,6
R,198103055,NOCA,5,F,4,7,3,2010,73,6
N,198103056,NOCA,1,M,0,6,28,2009,93,1
N,198103057,NOCA,2,M,0,6,28,2009,93,1
N,198103058,NOCA,2,F,0,6,28,2009,93,1
N,198103059,NOCA,2,M,0,6,28,2009,103,5
N,198103060,NOCA,2,M,0,6,28,2009,113,4
N,198103061,NOCA,2,M,0,6,28,2009,113,4
N,198103062,NOCA,1,M,0,7,4,2009,63,3
N,198103063,NOCA,2,U,0,7,4,2009,63,3
N,198103064,NOCA,2,M,0,7,4,2009,73,2
N,198103065,NOCA,2,M,0,7,4,2009,73,5
N,198103066,NOCA,1,F,4,7,4,2009,93,6
N,198103067,NOCA,2,M,0,7,4,2009,113,2
N,198103068,NOCA,1,F,4,7,4,2009,113,7
N,198103069,NOCA,1,F,4,7,4,2009,113,10
R,198103069,NOCA,1,F,0,8,1,2009,114,10
N,198103070,NOCA,2,U,0,7,4,2009,113,9
N,198103071,NOCA,2,M,0,7,11,2009,63,10
N,198103072,NOCA,1,F,1,7,11,2009,73,2
N,198103073,NOCA,2,M,0,7,11,2009,93,10
N,198103074,NOCA,1,F,4,7,11,2009,113,5
N,198103075,NOCA,2,M,0,7,11,2009,113,2
N,198103076,NOCA,2,F,0,7,26,2009,74,5
R,198103076,NOCA,5,F,5,5,15,2010,84,4
R,198103076,NOCA,5,F,2,6,26,2010,113,4
R,198103076,NOCA,6,F,2,5,15,2011,84,4
N,198103077,NOCA,2,F,0,7,26,2009,84,5
R,198103077,NOCA,5,F,5,5,22,2010,113,3
N,198103078,NOCA,2,M,0,7,26,2009,84,2
N,198103079,NOCA,2,M,0,7,26,2009,94,3
N,198103080,NOCA,2,F,0,7,26,2009,114,7
N,198103081,NOCA,2,F,0,8,1,2009,74,4
N,198103082,NOCA,2,F,0,8,1,2009,74,7
N,198103083,NOCA,2,F,0,8,1,2009,74,8
N,198103084,NOCA,2,F,0,8,1,2009,104,1
N,198103085,NOCA,2,M,0,8,1,2009,104,3
N,198103086,NOCA,1,F,4,8,1,2009,114,3
R,198103086,NOCA,6,F,4,6,12,2010,73,3
N,198103087,NOCA,1,F,4,8,1,2009,114,6
N,198103088,NOCA,1,M,0,5,15,2010,64,7
N,198103089,NOCA,1,F,5,5,15,2010,84,1
R,198103089,NOCA,1,F,4,7,3,2010,73,5
N,198103090,NOCA,1,M,0,5,15,2010,84,4
R,198103090,NOCA,6,M,0,5,15,2011,114,4
R,198103090,NOCA,6,M,0,7,2,2011,63,4
N,198103091,NOCA,1,M,0,5,15,2010,84,4
R,198103091,NOCA,1,M,0,5,22,2010,73,4
N,198103092,NOCA,1,M,0,5,15,2010,84,1
N,198103093,NOCA,1,M,0,5,15,2010,94,8
R,198103093,NOCA,1,M,0,6,12,2010,103,8
N,198103094,NOCA,1,M,0,5,15,2010,104,7
N,198103095,NOCA,1,M,0,5,22,2010,83,4
N,198103096,NOCA,1,F,5,5,22,2010,93,10
N,198103097,NOCA,1,F,5,5,22,2010,93,10
N,198103098,NOCA,1,F,5,5,22,2010,113,2
N,198103099,NOCA,1,M,0,5,22,2010,113,3
N,198103100,NOCA,1,F,4,6,5,2010,73,5
N,199107701,NOCA,1,F,1,6,25,2005,64,3
N,199107702,NOCA,1,F,4,6,25,2005,104,8
R,231138531,NOCA,2,U,0,8,7,2010,94,8
N,245106601,NOCA,1,M,0,6,5,2010,83,3
N,245106602,NOCA,1,M,0,6,5,2010,83,4
N,245106603,NOCA,1,F,0,6,5,2010,93,3
R,245106603,NOCA,6,F,3,5,15,2011,114,4
R,245106603,NOCA,6,F,4,6,11,2011,73,3
N,245106604,NOCA,1,F,3,6,5,2010,93,7
R,245106604,NOCA,1,F,4,7,3,2010,103,6
N,245106605,NOCA,1,M,0,6,5,2010,93,7
N,245106606,NOCA,1,F,3,6,5,2010,103,5
N,245106607,NOCA,1,M,0,6,5,2010,113,3
N,245106608,NOCA,1,M,0,6,12,2010,93,5
N,245106609,NOCA,1,F,4,6,12,2010,103,3
N,245106610,NOCA,1,F,3,6,26,2010,73,8
N,245106611,NOCA,1,F,4,6,26,2010,103,1
N,245106612,NOCA,1,F,4,7,10,2010,93,1
N,245106613,NOCA,1,F,4,7,10,2010,103,2
N,245106615,NOCA,1,M,0,7,24,2010,64,2
N,245106616,NOCA,2,U,0,7,24,2010,74,2
N,245106617,NOCA,2,U,0,7,24,2010,74,4
N,245106618,NOCA,2,U,0,7,24,2010,74,2
N,245106619,NOCA,1,F,4,7,24,2010,74,9
N,245106620,NOCA,2,F,0,8,7,2010,74,4
N,245106621,NOCA,2,M,0,8,7,2010,84,2
N,245106622,NOCA,2,F,0,8,7,2010,94,3
N,245106623,NOCA,2,M,0,8,7,2010,104,1
N,245106624,NOCA,1,M,0,5,15,2011,64,2
R,245106624,NOCA,1,M,0,6,4,2011,93,2
N,245106625,NOCA,1,F,0,5,15,2011,64,9
N,245106626,NOCA,1,F,1,5,15,2011,84,9
N,245106627,NOCA,1,F,0,5,15,2011,84,4
N,245106628,NOCA,1,M,0,5,15,2011,84,9
N,245106629,NOCA,1,M,0,5,15,2011,104,3
N,245106630,NOCA,1,M,0,5,15,2011,104,5
N,245106631,NOCA,1,M,0,5,28,2011,63,8
N,245106632,NOCA,1,F,1,5,28,2011,63,10
N,245106633,NOCA,5,M,0,5,28,2011,93,5
N,245106634,NOCA,1,F,4,5,28,2011,93,2
N,245106635,NOCA,1,M,0,6,4,2011,63,2
N,245106636,NOCA,1,M,0,6,4,2011,93,2
N,245106637,NOCA,1,F,3,6,4,2011,103,3
N,245106638,NOCA,1,F,4,6,11,2011,93,5
N,245106639,NOCA,2,M,0,6,26,2011,73,8
N,245106640,NOCA,1,M,0,6,26,2011,93,6
N,245106641,NOCA,2,M,0,6,26,2011,93,3
N,245106642,NOCA,1,M,0,6,26,2011,103,2
